id_syst;name;description;co6_config_variabletypes_id;parent;copra_unit;id;profiles;type;snomed;loinc;ieee;unit;unit_code;profil_canonical;category_coding_system;category_coding_code;category_coding_display;loinc_system;loinc_display;snomed_system;snomed_display;ieee_system;ieee_display;unit_transform
1268;Puls;Puls;6;1;1/min;81;Puls;Observation;8499008;;149514;per minute;/min;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/puls;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;;;http://snomed.info/sct;Pulse, function (observable entity);urn:iso:std:iso:11073:10101;Pulse rate;1.0
1269;ZVD;Zentralvenöser Druck;6;1;mmHg;73;Zentralvenöser Druck;Observation;71420008;60985-9;150084;millimeter of mercury;mm[Hg];https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/zentralvenoeser-blutdruck;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Central venous pressure (CVP);http://snomed.info/sct;Central venous pressure (observable entity);urn:iso:std:iso:11073:10101;Central venous pressure;1.0
1273;SaO2;arterielle Sauerstoffsättigung;6;1;%;61;Sauerstoffsättigung im art. Blut durch Pulsoxymetrie;Observation;442476006;59408-5;150456;percent;%;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/sauerstoffsaettigung-im-arteriellen-blut-durch-pulsoxymetrie;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Oxygen saturation in Arterial blood by Pulse oximetry;http://snomed.info/sct;Arterial oxygen saturation (observable entity);urn:iso:std:iso:11073:10101;Oxygen saturation in Arterial blood by Pulse oximetry;1.0
101322;Patient_AufnGewicht;Aufnahmegewicht (fallbezogen);6;20;kg;54;Körpergewicht;Observation;27113001;29463-7;;kilogram;kg;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/koerpergewicht;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Body weight;http://snomed.info/sct;Body weight (observable entity);;;1.0
102010;SpO2;Sauerstoffsättigung Pulsoxymetrie;6;1;%;61;Sauerstoffsättigung im art. Blut durch Pulsoxymetrie;Observation;442476006;59408-5;150456;percent;%;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/sauerstoffsaettigung-im-arteriellen-blut-durch-pulsoxymetrie;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Oxygen saturation in Arterial blood by Pulse oximetry;http://snomed.info/sct;Arterial oxygen saturation (observable entity);urn:iso:std:iso:11073:10101;Oxygen saturation in Arterial blood by Pulse oximetry;1.0
102018;PWP;Pulmunaler Wedgedruck;6;1;mmHg;49;Pulmonalarterieller wedge Blutdruck;Observation;118433006;75994-4;150052;millimeter of mercury;mm[Hg];https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/pulmonalarterieller-wedge-druck;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Pulmonary artery wedge pressure;http://snomed.info/sct;Pulmonary artery wedge pressure (observable entity);urn:iso:std:iso:11073:10101;Pulmonary artery wedge pressure;1.0
13;COPRA_Patient_Bezugsgewicht;Bezugsgewicht des Patienten in kg;6;1;kg;54;Körpergewicht;Observation;27113001;29463-7;;kilogram;kg;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/koerpergewicht;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Body weight;http://snomed.info/sct;Body weight (observable entity);;;1.0
102040;p-CO;Herzzeitvolumen (PICCO Modul Dräger Monitoring) ;6;1;l/min;69;Herzzeitvolumen;Observation;82799009;8741-1;150276;liter per minute;L/min;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/herzzeitvolumen;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Left ventricular Cardiac output;http://snomed.info/sct;Cardiac output (observable entity);urn:iso:std:iso:11073:10101;Cardiac output;1.0
6;Patient_Gewicht;Gewicht des Patienten;6;1;kg;54;Körpergewicht;Observation;27113001;29463-7;;kilogram;kg;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/koerpergewicht;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Body weight;http://snomed.info/sct;Body weight (observable entity);;;1.0
102051;HZV;Herzzeitvolumen;6;1;L/min;69;Herzzeitvolumen;Observation;82799009;8741-1;150276;liter per minute;L/min;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/herzzeitvolumen;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Left ventricular Cardiac output;http://snomed.info/sct;Cardiac output (observable entity);urn:iso:std:iso:11073:10101;Cardiac output;1.0
7;Patient_Groesse;Größe des Patienten;6;1;cm;53;Körpergroesse;Observation;1153637007;8302-2;;centimeter;cm;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/koerpergroesse;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Body height;http://snomed.info/sct;Body height (observable entity);;;1.0
100088;ICP;Intrakranialer Druck;6;1;mmHg;50;Intrakranieller Druck ICP;Observation;250844005;60956-0;153608;millimeter of mercury;mm[Hg];https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/intrakranieller-druck-icp;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Intracranial pressure (ICP);http://snomed.info/sct;Intracranial pressure (observable entity);urn:iso:std:iso:11073:10101;Intracranial pressure;1.0
11;COPRA_Patient_Kopfumfang;Kopfumfang des Patienten in Zentimetern;6;1;cm;52;Kopfumfang;Observation;363811000;9843-4;;centimeter;cm;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/kopfumfang;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Head Occipital-frontal circumference;http://snomed.info/sct;Head circumference measure (observable entity);;;1.0
