id_syst;name;description;co6_config_variabletypes_id;parent;copra_unit;id;profiles;type;snomed;loinc;ieee;profil_canonical;category_coding_system;category_coding_code;category_coding_display;loinc_system;loinc_display;snomed_system;snomed_display;ieee_system;ieee_display;component_sistol_unit_code;component_sistol_unit;component_sistol_loinc;component_sistol_loinc_system;component_sistol_loinc_display;component_sistol_loinc_detailed;component_sistol_loinc_detaile_system;component_sistol_loinc_detaile_display;component_sistol_snomed;component_sistol_snomed_system;component_sistol_snomed_display;component_sistol_ieee;component_sistol_ieee_system;component_sistol_ieee_display;component_mean_unit_code;component_mean_unit;component_mean_loinc;component_mean_loinc_system;component_mean_loinc_display;component_mean_loinc_detailed;component_mean_loinc_detaile_system;component_mean_loinc_detaile_display;component_mean_snomed;component_mean_snomed_system;component_mean_snomed_display;component_mean_ieee;component_mean_ieee_system;component_mean_ieee_display;component_diastol_unit_code;component_diastol_unit;component_diastol_loinc;component_diastol_loinc_system;component_diastol_loinc_display;component_diastol_loinc_detailed;component_diastol_loinc_detaile_system;component_diastol_loinc_detaile_display;component_diastol_snomed;component_diastol_snomed_system;component_diastol_snomed_display;component_diastol_ieee;component_diastol_ieee_system;component_diastol_ieee_display;unit_transform
100093;ABP_1;arterieller Blutdruck 1;12;1;mmHg;80;Blutdruck;Observation;75367002;85354-9;;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/blutdruck;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Blood pressure panel with all children optional;http://snomed.info/sct;Blood pressure (observable entity);;;mm[Hg];millimeter of mercury;8480-6;http://loinc.org;Systolic blood pressure;8480-6;http://loinc.org;Systolic blood pressure;271649006;http://snomed.info/sct;Systolic blood pressure (observable entity);150017;urn:iso:std:iso:11073:10101;Systolic blood pressure;mm[Hg];millimeter of mercury;8478-0;http://loinc.org;Mean blood pressure;8478-0;http://loinc.org;Mean blood pressure;6797001;http://snomed.info/sct;Mean blood pressure (observable entity);150019;urn:iso:std:iso:11073:10101;Mean blood pressure;mm[Hg];millimeter of mercury;8462-4;http://loinc.org;Diastolic blood pressure;8462-4;http://loinc.org;Diastolic blood pressure;271650006;http://snomed.info/sct;Diastolic blood pressure (observable entity);150018;urn:iso:std:iso:11073:10101;Diastolic blood pressure;1.0
100094;NBP_1;nichtinvasiver Blutdruck 1;12;1;mmHg;80;Blutdruck;Observation;75367002;85354-9;;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/blutdruck;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Blood pressure panel with all children optional;http://snomed.info/sct;Blood pressure (observable entity);;;mm[Hg];millimeter of mercury;8480-6;http://loinc.org;Systolic blood pressure;8480-6;http://loinc.org;Systolic blood pressure;271649006;http://snomed.info/sct;Systolic blood pressure (observable entity);150017;urn:iso:std:iso:11073:10101;Systolic blood pressure;mm[Hg];millimeter of mercury;8478-0;http://loinc.org;Mean blood pressure;8478-0;http://loinc.org;Mean blood pressure;6797001;http://snomed.info/sct;Mean blood pressure (observable entity);150019;urn:iso:std:iso:11073:10101;Mean blood pressure;mm[Hg];millimeter of mercury;8462-4;http://loinc.org;Diastolic blood pressure;8462-4;http://loinc.org;Diastolic blood pressure;271650006;http://snomed.info/sct;Diastolic blood pressure (observable entity);150018;urn:iso:std:iso:11073:10101;Diastolic blood pressure;1.0
100094;NBP_1;nichtinvasiver Blutdruck 1;12;1;mmHg;74;Blutdruck Generisch;Observation;75367002;85354-9;;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/blutdruck-generisch;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Blood pressure panel with all children optional;http://snomed.info/sct;Blood pressure (observable entity);;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;1.0
108505;P_NBP_liArm;Nichtinvasiver Blutdruck linker Arm;12;1;mmHg;80;Blutdruck;Observation;75367002;85354-9;;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/blutdruck;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Blood pressure panel with all children optional;http://snomed.info/sct;Blood pressure (observable entity);;;mm[Hg];millimeter of mercury;8480-6;http://loinc.org;Systolic blood pressure;8480-6;http://loinc.org;Systolic blood pressure;271649006;http://snomed.info/sct;Systolic blood pressure (observable entity);150017;urn:iso:std:iso:11073:10101;Systolic blood pressure;mm[Hg];millimeter of mercury;8478-0;http://loinc.org;Mean blood pressure;8478-0;http://loinc.org;Mean blood pressure;6797001;http://snomed.info/sct;Mean blood pressure (observable entity);150019;urn:iso:std:iso:11073:10101;Mean blood pressure;mm[Hg];millimeter of mercury;8462-4;http://loinc.org;Diastolic blood pressure;8462-4;http://loinc.org;Diastolic blood pressure;271650006;http://snomed.info/sct;Diastolic blood pressure (observable entity);150018;urn:iso:std:iso:11073:10101;Diastolic blood pressure;1.0
108506;P_NBP_reArm;Nichtinvasiver Blutdruck rechter Arm;12;1;mmHg;80;Blutdruck;Observation;75367002;85354-9;;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/blutdruck;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Blood pressure panel with all children optional;http://snomed.info/sct;Blood pressure (observable entity);;;mm[Hg];millimeter of mercury;8480-6;http://loinc.org;Systolic blood pressure;8480-6;http://loinc.org;Systolic blood pressure;271649006;http://snomed.info/sct;Systolic blood pressure (observable entity);150017;urn:iso:std:iso:11073:10101;Systolic blood pressure;mm[Hg];millimeter of mercury;8478-0;http://loinc.org;Mean blood pressure;8478-0;http://loinc.org;Mean blood pressure;6797001;http://snomed.info/sct;Mean blood pressure (observable entity);150019;urn:iso:std:iso:11073:10101;Mean blood pressure;mm[Hg];millimeter of mercury;8462-4;http://loinc.org;Diastolic blood pressure;8462-4;http://loinc.org;Diastolic blood pressure;271650006;http://snomed.info/sct;Diastolic blood pressure (observable entity);150018;urn:iso:std:iso:11073:10101;Diastolic blood pressure;1.0
110919;LAP1;linksartrialer Druck;12;1;mmHg;75;Linksatrialer Druck;Observation;276762004;85354-9;;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/linksatrialer-druck;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Blood pressure panel with all children optional;http://snomed.info/sct;Direct left atrial pressure (observable entity);;;mm[Hg];millimeter of mercury;8480-6;http://loinc.org;Systolic blood pressure;60989-1;http://loinc.org;Left atrial pressure Systolic;;;;150065;urn:iso:std:iso:11073:10101;Systolic left atrial pressure;mm[Hg];millimeter of mercury;8478-0;http://loinc.org;Mean blood pressure;8399-8;http://loinc.org;Left atrial Intrachamber mean pressure;;;;150067;urn:iso:std:iso:11073:10101;Mean left atrial pressure;mm[Hg];millimeter of mercury;8462-4;http://loinc.org;Diastolic blood pressure;75933-2;http://loinc.org;Left atrial pressure Diastolic;;;;150066;urn:iso:std:iso:11073:10101;Diastolic left atrial pressure;1.0
110921;RAP1;rechtsartrialer Druck;12;1;mmHg;76;Rechtsatrialer Druck;Observation;276755008;85354-9;;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/rechtsatrialer-druck;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Blood pressure panel with all children optional;http://snomed.info/sct;Right atrial pressure (observable entity);;;mm[Hg];millimeter of mercury;8480-6;http://loinc.org;Systolic blood pressure;60998-2;http://loinc.org;Right atrial pressure Systolic;;;;150069;urn:iso:std:iso:11073:10101;Systolic right atrial pressure;mm[Hg];millimeter of mercury;8478-0;http://loinc.org;Mean blood pressure;8400-4;http://loinc.org;Right atrial Intrachamber mean pressure;;;;150071;urn:iso:std:iso:11073:10101;Mean right atrial pressure;mm[Hg];millimeter of mercury;8462-4;http://loinc.org;Diastolic blood pressure;60997-4;http://loinc.org;Right atrial pressure Diastolic;;;;150070;urn:iso:std:iso:11073:10101;Diastolic right atrial pressure;1.0
104356;IABP_DatascopeCS300_MS_Systole_Mittel_Diastole;Dokumentation des gemessenen Blutdruckes unter IABP.;12;1;mm[Hg];74;Blutdruck Generisch;Observation;75367002;85354-9;;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/blutdruck-generisch;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Blood pressure panel with all children optional;http://snomed.info/sct;Blood pressure (observable entity);;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;1.0
100089;ABP_2;zweiter arterieller Blutdruck;12;1;mmHg;74;Blutdruck Generisch;Observation;75367002;85354-9;;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/blutdruck-generisch;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Blood pressure panel with all children optional;http://snomed.info/sct;Blood pressure (observable entity);;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;1.0
100090;NBP_2;zweiter nichtinvasiver Blutdruck ;12;1;mmHg;74;Blutdruck Generisch;Observation;75367002;85354-9;;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/blutdruck-generisch;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Blood pressure panel with all children optional;http://snomed.info/sct;Blood pressure (observable entity);;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;1.0
100093;ABP_1;arterieller Blutdruck 1;12;1;mmHg;74;Blutdruck Generisch;Observation;75367002;85354-9;;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/blutdruck-generisch;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Blood pressure panel with all children optional;http://snomed.info/sct;Blood pressure (observable entity);;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;1.0
108503;P_NBP_liBein;Nichtinvaiver Blutdruck linkes Bein;12;1;mmHg;74;Blutdruck Generisch;Observation;75367002;85354-9;;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/blutdruck-generisch;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Blood pressure panel with all children optional;http://snomed.info/sct;Blood pressure (observable entity);;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;1.0
